OBJECTID	ICNUM	CPNM	IDC	CROPNAME	BIO_E	HVSTI	BLAI	FRGRW1	LAIMX1	FRGRW2	LAIMX2	DLAI	CHTMX	RDMX	T_OPT	T_BASE	CNYLD	CPYLD	BN1	BN2	BN3	BP1	BP2	BP3	WSYF	USLE_C	GSI	VPDFR	FRGMAX	WAVP	CO2HI	BIOEHI	RSDCO_PL	OV_N	CN2A	CN2B	CN2C	CN2D	FERTFIELD	ALAI_MIN	BIO_LEAF	MAT_YRS	BMX_TREES	EXT_COEF	BM_DIEOFF	OpSchedule
1	1	AGRL	4	Agricultural Land-Generic	33.50	0.45	3.00	0.15	0.05	0.50	0.95	0.64	1.00	2.00	30.00	11.00	0.01	3.2e-03	0.04	0.01	0.01	6.0e-03	2.2e-03	1.8e-03	0.25	0.20	5.0e-03	4.00	0.75	8.50	660.00	36.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
2	2	AGRR	4	Agricultural Land-Row Crops	39.00	0.50	3.00	0.15	0.05	0.50	0.95	0.70	2.50	2.00	25.00	8.00	0.01	1.6e-03	0.04	0.01	0.01	4.8e-03	1.8e-03	1.4e-03	0.30	0.20	7.0e-03	4.00	0.75	7.20	660.00	45.00	0.05	0.14	67.00	78.00	85.00	89.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
3	3	AGRC	5	Agricultural Land-Close-grown	30.00	0.40	4.00	0.05	0.05	0.45	0.95	0.50	0.90	1.30	18.00	0.00	0.02	2.2e-03	0.06	0.02	0.01	5.3e-03	2.0e-03	1.2e-03	0.20	0.03	6.0e-03	4.00	0.75	6.00	660.00	39.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
4	4	ORCD	7	Orchard	15.00	0.10	4.00	0.10	0.15	0.50	0.75	0.99	3.50	2.00	20.00	7.00	1.9e-03	4.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.05	1.0e-03	7.0e-03	4.00	0.75	3.00	660.00	20.00	0.05	0.15	45.00	66.00	77.00	83.00	1	0.75	0.30	0.00	0.00	0.65	0.10	AGRR
5	5	HAY	6	Hay	35.00	0.90	4.00	0.05	0.05	0.49	0.95	0.99	0.50	2.00	25.00	12.00	0.02	3.3e-03	0.06	0.02	0.01	8.4e-03	3.2e-03	1.9e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	36.00	0.05	0.30	31.00	59.00	72.00	79.00	1	0.00	0.00	0.00	0.00	0.65	0.10	HAY
6	6	FRST	7	Forest-Mixed	15.00	0.76	5.00	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.10	36.00	60.00	73.00	79.00	0	0.75	0.30	50.00	1000.00	0.65	0.10	FRST
7	7	FRSD	7	Forest-Deciduous	15.00	0.76	5.00	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.10	45.00	66.00	77.00	83.00	0	0.75	0.30	10.00	1000.00	0.65	0.10	FRSD
8	8	FRSE	7	Forest-Evergreen	15.00	0.76	5.00	0.15	0.70	0.25	0.99	0.99	10.00	3.50	30.00	0.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.60	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.10	25.00	55.00	70.00	77.00	0	0.75	0.30	30.00	1000.00	0.65	0.10	FRSE
9	9	WETL	6	Wetlands-Mixed	47.00	0.90	6.00	0.10	0.20	0.20	0.95	0.70	2.50	2.20	25.00	12.00	0.01	2.2e-03	0.03	0.01	3.8e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	8.50	660.00	54.00	0.05	0.05	49.00	69.00	79.00	84.00	0	0.00	0.00	0.00	0.00	0.65	0.10	WETL
10	10	WETF	7	Wetlands-Forested	15.00	0.76	5.00	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.05	45.00	66.00	77.00	83.00	0	0.00	0.00	30.00	1000.00	0.65	0.10	WETF
