Parameter	Description	Unit	Module_ID	Value	Impact	Change	Max	Min	Use
ai0	Ratio of algal biomass to chlorophyII-a	ug chla/mg alg	ChannelRouting	50			100	10	
ai1	Fraction of algal biomass that is nitrogen	mg N/mg alg	ChannelRouting	0.08			0.09	0.07	
ai2	Fraction of algal biomass that is phosphorous	mg P/mg alg	ChannelRouting	0.015			0.02	0.01	
ai3	Rate of oxygen production per unit of algal photosynthesis	mg O2/mg alg	ChannelRouting	1.6			1.8	1.4	
ai4	Rate of oxygen uptake per unit of alga respiration	mg O2/mg alg	ChannelRouting	2			2.3	1.6	
ai5	Rate of oxygen uptake per unit of NH3 nitrogen oxidation	mg O2/mg NH3-N	ChannelRouting	3.5			4	3	
ai6	Rate of oxygen uptake per unit of NO2 nitrogen oxidation	mg O2/mg NO2-N	ChannelRouting	1.07			1.14	1	
algae	Algal biomass concentration in reach on the first day	mg alg/L	ChannelRouting	0					
nh3	Ammonia concentration in reach on the first day	mg N/L	ChannelRouting	0					
chlora	ChlorophyII-a concentration in reach on the first day	mg chla/L	ChannelRouting	0					
disp	Dissolved P concentration in reach on the first day	mg P/L	ChannelRouting	0					
k_l	Half saturation coefficient for light	kJ/(m2-min)	ChannelRouting	0.75			1.135	0.2227	
k_n	Michaelis-mention half-saturation constant for nitrogen	mg N/L	ChannelRouting	0.02			0.03	0.01	
k_p	Michaelis-mention half-saturation constant for P	mg P/L	ChannelRouting	0.025			0.05	0.001	
lambda0	Non-algal portion of hte light extinction coefficient	1/m	ChannelRouting	1					
lambda1	Linear algal self-shading coefficient	(1/m) 1/(ug chla/L)	ChannelRouting	0.03			0.065	0.0065	
lambda2	Nonlinear alga self-shading coefficient	(1/m) (ug chla/L)^(-2/3)	ChannelRouting	0.0541			0.0541	0.0541	
mumax	Maximum specific algal growth rate at 20 deg C	1/day	ChannelRouting	2			3	1	
no3	NO3-N concentration in reach on the first day	mg N/L	ChannelRouting	0					
no2	NO2-N concentration in reach on the first day	mg N/L	ChannelRouting	0					
orgn	Organic N concentration in reach on the first day	mg N/L	ChannelRouting	0					
orgp	Organic P concentration in reach on the first day	mg P/L	ChannelRouting	0					
p_n	Algal preference factor for ammonia	none	ChannelRouting	0.5			1	0.01	
cbod	Carbonaceous biochemical oxygen demand in reach on the frist day	mg O2/L	ChannelRouting	0					
diso2	Dissolved oxygen concentration in reach on the first day	mg O2/L	ChannelRouting	0					
rhoq	Algal respiration rate coefficient in reach at 20 deg C	1/day	ChannelRouting	0.3			0.5	0.05	
tfact	Fraction of solar radiation computed in the temperature heat balance that is photosynthetically active	none	ChannelRouting	0.3			1	0.1	
