Parameter	Description	Unit	Module_ID	Value	Impact	Change	Max	Min	Use
nFixFactor	nitrogen fixation factor		PG_EPIC	0.5			1	0	
nFixMax	maximum daily-n fixation	kg/ha	PG_EPIC	10			20	1	
wDis	water use distribution parameter		PG_EPIC	10					
wCom	water uptake compensation factor		PG_EPIC	0.5			1	0	
nDis	nitrogen uptake distribution parameter		PG_EPIC	10					
pDis	phosphorous uptake distribution parameter		PG_EPIC	10					
frPerennial	perennial biomass loss fraction		PG_EPIC	0.1					
startYear	the start year of rotation		PG_EPIC	2000					
landUse	the initial distribution of crops		PG_EPIC	-99					
minGrazingBio	minimum plant biomass for grazing	kg/ha	PG_EPIC	0				0	
