Parameter	Description	Unit	Module_ID	Value	Impact	Change	Max	Min	Use
Depression	Depression storage capacity	mm	ALL	-99	1	RC	5	0.5	Y
CN2	Curve number in condition II		ALL	-99	1	RC	1.3	0.7	
Density	Soil bulk density	mg/cm3	ALL	-99	1	RC	1.2	0.8	
Clay	Clay proportion		ALL	-99	1	RC	1.2	0.8	
Sand	Sand proportion		ALL	-99	1	RC	1.2	0.8	
WTI	Wetness index		SUR_SA	-99	1	RC	1.2	0.8	Y
Slope	Slope	%	ALL	-99	1	RC	1.1	0.9	Y
Wiltingpoint	Plant wilting point moisture	m3/m3	ALL	-99	1	RC	1.2	0.8	Y
Poreindex	Pore size distribution index		ALL	-99	1	RC	1.2	0.8	Y
Runoff_co	Potential runoff coefficient		SUR_MR	-99	1	RC	1	0.5	Y
Conductivity	Soil hydraulic conductivity	mm/hr	ALL	-99	1	RC	10	0.1	Y
Porosity	Soil porosity	m3/m3	ALL	-99	1	RC	1.2	0.8	Y
Fieldcap	Soil field capacity	m3/m3	ALL	-99	1	RC	1.2	0.8	Y
Moist_in	Initial soil moisture	m3/m3	ALL	-99	1	RC	1	0.8	Y
soiltemp0	Initial soil temperature	oC	SOI_EB	-99	1	RC	1.2	0.8	Y
K_run	Runoff exponent when net rainfall approaches to zero		SUR_MR	2.5	0	AC	5	0	Y
P_max	Maximum rainfall intensity when k_run = 1.0	mm	SUR_MR	30	0	AC	60	10	Y
Depre_in	Initial depression storage coefficient		ALL	0	0	RC	1	0	Y
Rootdepth	Root depth	m	ALL	-99	1	RC	1.5	0.2	Y
soil_ta0	Empirical coefficient for estimating soil temperature	oC	STP_FP	4.768	0	AC	10	0	Y
soil_ta1	Empirical coefficient for estimating soil temperature		STP_FP	0.174	0	AC	1	0	Y
soil_ta2	Empirical coefficient for estimating soil temperature		STP_FP	0.163	0	AC	1	0	Y
soil_ta3	Empirical coefficient for estimating soil temperature		STP_FP	0.223	0	AC	1	0	Y
soil_tb1	Empirical coefficient for estimating soil temperature	oC	STP_FP	-1.361	0	AC	0	-5	Y
soil_tb2	Empirical coefficient for estimating soil temperature	oC	STP_FP	-3.762	0	AC	0	-5	Y
soil_td1	Empirical coefficient for estimating soil temperature	oC	STP_FP	0.057	0	AC	1	0	Y
soil_td2	Empirical coefficient for estimating soil temperature	oC	STP_FP	0.339	0	AC	1	0	Y
k_soil10	ratio between soil temperature at 10 cm and the mean		STP_FP	1	0	AC	3	0	Y
soil_t10	soil temperature relative to short grass cover	oC	STP_FP	-99	1	RC	2	0	Y
rv_co	Groundwater revap coefficient		GWA_RE	0	0	AC	0.2	0	Y
t_soil	Soil freezing temperature	oC	ALL	-5	0	AC	0	-15	Y
s_frozen	Frozen moisture relative to porosity with no infiltration		ALL	0.5	0	AC	1	0.1	Y
Residual	soil residual moisture	m3/m3	ALL	-99	1	RC	1.2	0.8	Y
