## This file defines the locations of point sources.
## PTSRCID is the identifier of different kind of point sources, it is calculated by PTSRC and ID
## 	PTSRC code includes:
## 		10000: Cattle farm
## 		20000: Pig farm
## 		30000: Chicken farm
## 		40000: Sewage outlet in rural resident
## 		50000: Water release point, such as spillway of upstream reservoir
## 	ID can be numbered from 1 to 9999.
PTSRC	PTSRCID	Name	Lon	Lat	LocalX	LocalY	Size
10000	10001	CATTLE1	117.44897	32.011126	39542419.65	3543174.289	300
20000	20001	PIG1	117.4418671	31.94989758	39541776.29	3536382.004	7
20000	20002	PIG2	117.4441539	31.95003845	39541992.43	3536398.51	353
20000	20003	PIG3	117.4426763	31.95107219	39541852.25	3536512.567	44
20000	20004	PIG4	117.4417384	31.95114232	39541763.55	3536519.982	54
20000	20005	PIG5	117.4350936	31.95219177	39541134.86	3536633.808	71
20000	20006	PIG6	117.4756811	31.97294292	39544962.03	3538951	7
20000	20007	PIG7	117.4761893	31.97328504	39545009.9	3538989.148	9
20000	20008	PIG8	117.4756312	31.98838751	39544949.78	3540663.601	10
20000	20009	PIG9	117.4751131	31.98857276	39544900.73	3540683.927	17
20000	20010	PIG10	117.4816318	31.99360622	39545514.29	3541244.805	20
20000	20011	PIG11	117.4824332	31.99379731	39545589.93	3541266.332	12
20000	20012	PIG12	117.4820082	31.9937456	39545549.8	3541260.419	20
20000	20013	PIG13	117.4823254	31.99408442	39545579.6	3541298.123	12
20000	20014	PIG14	117.4163806	31.99647754	39539346.76	3541537.596	31
20000	20015	PIG15	117.4640726	31.99918622	39543852.28	3541856.305	47
20000	20016	PIG16	117.4656355	31.99980726	39543999.67	3541925.807	13
20000	20017	PIG17	117.4646243	31.99973155	39543904.15	3541917	46
20000	20018	PIG18	117.4653357	32.00006119	39543971.22	3541953.842	7
20000	20019	PIG19	117.4555386	32.00897644	39543041.28	3542938.499	3
20000	20020	PIG20	117.4559185	32.02207634	39543071.04	3544391.28	400
20000	20021	PIG21	117.4667732	32.01229326	39544101.2	3543310.824	800
20000	20022	PIG22	117.4536917	31.953076	39542892.77	3536739.075	6000
20000	20023	PIG23	117.460075	31.9990143	39543474.58	3541835.627	10000
30000	30001	CHICKEN1	117.437778	31.95325755	39541388.16	3536753.012	10000
30000	30002	CHICKEN2	117.442232	31.98677261	39541794.07	3540471.134	10000
40000	40001	RURAL_SEWAGE1	117.483587	31.95292433	39545719.23	3536734.492	10000
40000	40002	RURAL_SEWAGE2	117.468861	31.954558	39544326.13	3536909.591	10000
