StationID	Y	M	D	Type	Value
1	2014	1	7	COD	4.38
2	2014	1	7	COD	4.38
3	2014	1	7	COD	10.61
4	2014	1	7	COD	389.6
5	2014	1	7	COD	400.1
6	2014	1	7	COD	712
13	2014	1	7	COD	0
7	2014	1	7	COD	70.2
9	2014	1	7	COD	26.64
8	2014	1	7	COD	32.95
12	2014	1	7	COD	5.85
1	2014	8	27	COD	63.9875
1	2014	8	28	COD	80.44
1	2014	8	29	COD	54.1
1	2014	8	30	COD	327.6
1	2014	8	31	COD	341.63
1	2014	9	1	COD	37.85666667
1	2014	9	2	COD	72.07428571
1	2014	9	3	COD	50.12
1	2014	9	4	COD	51.19
1	2014	3	15	COD	40.95
2	2014	3	15	COD	51.46
3	2014	3	15	COD	245.7
4	2014	3	15	COD	329.1
5	2014	3	15	COD	194.5
6	2014	3	15	COD	86.29
13	2014	3	15	COD	8.78
7	2014	3	15	COD	27.79
8	2014	3	15	COD	4.38
9	2014	3	15	COD	24.59
10	2014	3	15	COD	150.6
11	2014	3	15	COD	144.8
12	2014	3	15	COD	45.32
1	2014	5	14	COD	11.7
2	2014	5	14	COD	14.62
3	2014	5	14	COD	64.35
4	2014	5	14	COD	623.1
5	2014	5	14	COD	21.94
6	2014	5	14	COD	291
7	2014	5	14	COD	64.35
8	2014	5	14	COD	21.94
9	2014	5	14	COD	36.56
10	2014	5	14	COD	32.17
11	2014	5	14	COD	222.3
12	2014	5	14	COD	35.1
13	2014	5	14	COD	14.62
1	2014	7	1	COD	143.3
2	2014	7	1	COD	239.8
3	2014	7	1	COD	98
4	2014	7	1	COD	197.4
5	2014	7	1	COD	194.5
6	2014	7	1	COD	98
7	2014	7	1	COD	67.28
8	2014	7	1	COD	141.8
9	2014	7	1	COD	86.29
10	2014	7	1	COD	361.2
11	2014	7	1	COD	2.925
12	2014	7	1	COD	209.1
13	2014	7	1	COD	109.7
1	2014	10	10	COD	2.9 
2	2014	10	10	COD	81.9 
3	2014	10	10	COD	133.1 
4	2014	10	10	COD	48.3 
6	2014	10	10	COD	207.7 
7	2014	10	10	COD	16.1 
8	2014	10	10	COD	19.0 
9	2014	10	10	COD	71.7 
10	2014	10	10	COD	7.3 
11	2014	10	10	COD	42.4 
12	2014	10	10	COD	153.5 
13	2014	10	10	COD	13.2 
1	2014	11	28	COD	79.0 
2	2014	11	28	COD	332.0 
3	2014	11	28	COD	326.1 
4	2014	11	28	COD	33.6 
6	2014	11	28	COD	302.7 
7	2014	11	28	COD	138.9 
8	2014	11	28	COD	90.7 
9	2014	11	28	COD	409.5 
10	2014	11	28	COD	245.7 
11	2014	11	28	COD	484.1 
12	2014	11	28	COD	226.7 
13	2014	11	28	COD	247.1 
