StationID	Y	M	D	TMEAN	TMAX	TMIN	RM	WS	SSD
58321	2014	1	1	5.6	16.3	-2.4	56.0	1.4	7.4
58321	2014	1	2	7.5	17.3	-0.6	58.0	1.2	6.9
58321	2014	1	3	9.3	14.1	4.5	41.0	2.9	3.5
58321	2014	1	4	4.6	10.5	0.8	59.0	1.6	1.6
58321	2014	1	5	5.4	13.8	-1.1	71.0	1.6	7.6
58321	2014	1	6	7.3	14.7	-0.9	56.0	2.1	4.3
58321	2014	1	7	7.1	10.7	6.4	93.0	1.1	0.0
58321	2014	1	8	4.4	6.6	3.0	96.0	3.1	0.0
58321	2014	1	9	1.4	5.7	-1.9	87.0	1.0	2.2
58321	2014	1	10	2.0	7.7	-3.6	76.0	1.3	5.1
58321	2014	1	11	4.1	5.4	3.3	83.0	1.2	0.0
58321	2014	1	12	5.6	9.5	1.0	78.0	1.1	6.3
58321	2014	1	13	3.2	6.7	0.7	85.0	1.5	0.0
58321	2014	1	14	1.2	7.4	-3.9	84.0	1.3	5.3
58321	2014	1	15	1.2	8.6	-4.4	73.0	1.4	6.4
58321	2014	1	16	4.2	10.9	-0.9	66.0	1.1	5.9
58321	2014	1	17	5.7	10.7	0.9	70.0	2.0	6.7
58321	2014	1	18	0.4	6.6	-2.0	84.0	1.7	0.0
58321	2014	1	19	1.3	9.4	-3.3	86.0	1.1	5.1
58321	2014	1	20	5.0	9.0	1.2	37.0	2.4	6.7
58321	2014	1	21	0.8	8.0	-5.3	44.0	1.5	7.9
58321	2014	1	22	2.0	10.1	-5.0	50.0	1.6	8.8
58321	2014	1	23	6.2	14.6	0.0	49.0	2.8	8.6
58321	2014	1	24	11.1	20.5	5.6	40.0	3.4	4.6
58321	2014	1	25	7.8	14.0	3.8	51.0	2.8	1.7
58321	2014	1	26	6.4	10.6	3.4	60.0	3.7	6.8
58321	2014	1	27	5.9	12.6	0.6	71.0	1.5	3.3
58321	2014	1	28	8.0	13.5	3.4	74.0	2.3	1.9
58321	2014	1	29	6.9	9.5	5.2	98.0	1.1	0.0
58321	2014	1	30	8.5	16.6	2.2	92.0	1.3	5.6
58321	2014	1	31	12.3	19.1	6.6	85.0	2.5	6.0
58321	2014	2	1	10.7	12.9	9.1	96.0	1.7	0.0
58321	2014	2	2	9.7	12.0	8.2	98.0	1.6	0.0
58321	2014	2	3	7.1	11.4	3.2	94.0	3.6	0.0
58321	2014	2	4	2.5	4.9	-0.7	61.0	4.5	2.3
58321	2014	2	5	0.7	3.8	-1.0	97.0	3.5	0.0
58321	2014	2	6	1.7	3.1	0.8	100.0	3.2	0.0
58321	2014	2	7	-0.1	0.8	-0.5	99.0	3.0	0.0
58321	2014	2	8	-0.8	0.5	-1.5	87.0	2.4	0.0
58321	2014	2	9	-1.5	-0.4	-2.2	83.0	3.0	0.0
58321	2014	2	10	-3.1	-0.3	-5.0	61.0	3.4	5.9
58321	2014	2	11	-2.7	1.5	-6.4	63.0	1.9	5.8
58321	2014	2	12	-0.5	2.9	-5.2	62.0	2.3	3.5
58321	2014	2	13	0.6	4.4	-1.7	90.0	2.3	0.0
58321	2014	2	14	0.6	4.6	-2.4	94.0	1.2	0.0
58321	2014	2	15	2.4	9.2	-3.5	78.0	1.3	7.6
58321	2014	2	16	3.9	5.6	2.9	94.0	0.9	0.0
58321	2014	2	17	2.8	4.3	1.6	100.0	2.7	0.0
58321	2014	2	18	-0.7	3.2	-1.2	99.0	2.7	0.0
58321	2014	2	19	1.0	5.7	-1.7	91.0	0.8	3.3
58321	2014	2	20	3.4	9.8	-2.0	81.0	1.1	7.8
58321	2014	2	21	5.3	11.8	-1.9	70.0	2.2	8.4
58321	2014	2	22	8.7	15.1	3.1	68.0	1.7	6.0
