"OBJECTID","ICNUM","CPNM","IDC","CROPNAME","BIO_E","HVSTI","BLAI","FRGRW1","LAIMX1","FRGRW2","LAIMX2","DLAI","CHTMX","RDMX","T_OPT","T_BASE","CNYLD","CPYLD","BN1","BN2","BN3","BP1","BP2","BP3","WSYF","USLE_C","GSI","VPDFR","FRGMAX","WAVP","CO2HI","BIOEHI","RSDCO_PL","OV_N","CN2A","CN2B","CN2C","CN2D","FERTFIELD","ALAI_MIN","BIO_LEAF","MAT_YRS","BMX_TREES","EXT_COEF","BM_DIEOFF"
1,1.00,"AGRL",4.00,"Agricultural Land-Generic",33.50,.45,3.00,.15,.05,.50,.95,.64,1.00,2.00,30.00,11.00,.01,3.2e-03,.04,.01,.01,6.0e-03,2.2e-03,1.8e-03,.25,.20,5.0e-03,4.00,.75,8.50,660.00,36.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
2,2.00,"AGRR",4.00,"Agricultural Land-Row Crops",39.00,.50,3.00,.15,.05,.50,.95,.70,2.50,2.00,25.00,8.00,.01,1.6e-03,.04,.01,.01,4.8e-03,1.8e-03,1.4e-03,.30,.20,7.0e-03,4.00,.75,7.20,660.00,45.00,.05,.14,67.00,78.00,85.00,89.00,1.00,.00,.00,.00,.00,.65,.10
3,3.00,"AGRC",5.00,"Agricultural Land-Close-grown",30.00,.40,4.00,.05,.05,.45,.95,.50,.90,1.30,18.00,.00,.02,2.2e-03,.06,.02,.01,5.3e-03,2.0e-03,1.2e-03,.20,.03,6.0e-03,4.00,.75,6.00,660.00,39.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
4,4.00,"ORCD",7.00,"Orchard",15.00,.10,4.00,.10,.15,.50,.75,.99,3.50,2.00,20.00,7.00,1.9e-03,4.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.05,1.0e-03,7.0e-03,4.00,.75,3.00,660.00,20.00,.05,.15,45.00,66.00,77.00,83.00,1.00,.75,.30,.00,.00,.65,.10
5,5.00,"HAY",6.00,"Hay",35.00,.90,4.00,.05,.05,.49,.95,.99,.50,2.00,25.00,12.00,.02,3.3e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,36.00,.05,.30,31.00,59.00,72.00,79.00,1.00,.00,.00,.00,.00,.65,.10
6,6.00,"FRST",7.00,"Forest-Mixed",15.00,.76,5.00,.05,.05,.40,.95,.99,6.00,3.50,30.00,10.00,1.5e-03,3.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,2.0e-03,4.00,.75,8.00,660.00,16.00,.05,.10,36.00,60.00,73.00,79.00,.00,.75,.30,50.00,1000.00,.65,.10
7,7.00,"FRSD",7.00,"Forest-Deciduous",15.00,.76,5.00,.05,.05,.40,.95,.99,6.00,3.50,30.00,10.00,1.5e-03,3.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,2.0e-03,4.00,.75,8.00,660.00,16.00,.05,.10,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,1000.00,.65,.10
8,8.00,"FRSE",7.00,"Forest-Evergreen",15.00,.76,5.00,.15,.70,.25,.99,.99,10.00,3.50,30.00,.00,1.5e-03,3.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.60,1.0e-03,2.0e-03,4.00,.75,8.00,660.00,16.00,.05,.10,25.00,55.00,70.00,77.00,.00,.75,.30,30.00,1000.00,.65,.10
9,9.00,"WETL",6.00,"Wetlands-Mixed",47.00,.90,6.00,.10,.20,.20,.95,.70,2.50,2.20,25.00,12.00,.01,2.2e-03,.03,.01,3.8e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,8.50,660.00,54.00,.05,.05,49.00,69.00,79.00,84.00,.00,.00,.00,.00,.00,.65,.10
10,10.00,"WETF",7.00,"Wetlands-Forested",15.00,.76,5.00,.05,.05,.40,.95,.99,6.00,3.50,30.00,10.00,1.5e-03,3.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,2.0e-03,4.00,.75,8.00,660.00,16.00,.05,.05,45.00,66.00,77.00,83.00,.00,.00,.00,30.00,1000.00,.65,.10
