ModuleName	Parameters	Inputs	Outputs	
CH_DW	DT_HS,CELLWIDTH,DEM,SLOPE,FLOW_DIR,CHWIDTH,FLOWOUT_INDEX_D8,FLOWIN_INDEX_D8,STREAM_LINK,REACHPARAMETER	D_QOVERLAND,D_QSOIL,D_P	QCH,QOUTLET,QSUBBASIN,HCH,CHWATH,CHQCH	
CH_MSK	DT_HS,CELLWIDTH,MSK_X,SLOPE,FLOW_DIR,CHWIDTH,FLOWOUT_INDEX_D8,FLOWIN_INDEX_D8,STREAM_LINK,REACHPARAMETER,CHS0	SBQG,D_QSOIL,D_QOVERLAND,D_P	QCH,QOUTLET,QSUBBASIN,HCH	
DEP_FS	DEPRE_IN,DEPRESSION	D_INLO,D_PET	DEET,DPST,SURU,STCAPSURPLUS	
GWATER_RESERVOIR	SUBBASIN,RCHPARAM,DT_HS,CELLWIDTH,KG,BASE_EX,GW0	D_PERCOLATION	SBQG,SBGS	
HS_WB	SUBBASIN,ROOTDEPTH,POROSITY,FIELDCAP,RCHPARAM,STREAM_LINK	D_QOVERLAND,D_QSOIL	SOWB,SBOF,SBIF	
IKW_CH	DT_HS,CELLWIDTH,FLOW_DIR,CHWIDTH,CH_MANNINGFACTOR,FLOWOUT_INDEX_D8,FLOWIN_INDEX_D8,STREAM_LINK,REACHPARAMETER	RADIANSLOPE,D_QOVERLAND,D_QSOIL,D_P,SBQG	QRECH,QOUTLET,QTOTAL,QSUBBASIN,HCH,CHWATH,CHQCH	
IKW_OL	DT_HS,CELLWIDTH,SLOPE,CHWIDTH,STREAM_LINK,MANNING,FLOW_DIR,FLOWOUT_INDEX_D8,FLOWIN_INDEX_D8,ROUTING_LAYERS	D_SURU,D_INFILCAPSURPLUS,D_INFIL,D_ACCUMUINFIL	QOVERLAND,REINFILTRATION,FLOWWIDTH,CHWIDTH,RADIANSLOPE,ID_OUTLET	
INTERFLOW_IKW	DT_HS,CELLWIDTH,SLOPE,CHWIDTH,STREAM_LINK,FLOWIN_INDEX_D8,ROUTING_LAYERS,CONDUCTIVITY,POROSITY,FIELDCAP,ROOTDEPTH,POREINDEX,KI	D_SOMO,D_SURU	QSOIL,RETURNFLOW	
ITP_P	WEIGHT,VERTICALINTERPOLATION,DEM,STATIONELEVATION,LAPSERATE	T_P	D_P	
ITP_TMIN	WEIGHT,VERTICALINTERPOLATION,DEM,STATIONELEVATION,LAPSERATE	T_TMIN	D_TMIN	
ITP_TMAX	WEIGHT,VERTICALINTERPOLATION,DEM,STATIONELEVATION,LAPSERATE	T_TMAX	D_TMAX	
ITP_PET	WEIGHT,VERTICALINTERPOLATION,DEM,STATIONELEVATION,LAPSERATE	T_PET	D_PET	
ITP_SR	WEIGHT,VERTICALINTERPOLATION,DEM,STATIONELEVATION,LAPSERATE	T_SR	D_SR	
ITP_WS	WEIGHT,VERTICALINTERPOLATION,DEM,STATIONELEVATION,LAPSERATE	T_WS	D_WS	
ITP_RM	WEIGHT,VERTICALINTERPOLATION,DEM,STATIONELEVATION,LAPSERATE	T_RM	D_RM	
PERCO_DARCY	DT_HS,CELLWIDTH,CONDUCTIVITY,POROSITY,POREINDEX,FIELDCAP,ROOTDEPTH	D_SOMO	PERCOLATION	
PI_STORM	SLOPE,DT_HS,INTERC_MAX,INTERC_MIN,PI_B,INIT_IS	D_P	INLO,NEPR	
SUR_SGA	DT_HS,CONDUCTIVITY,MOIST_IN,CLAY,SAND,POROSITY,ROOTDEPTH,FIELDCAP	D_NEPR,D_DPST,D_SURU	SOMO,INFIL,INFILCAPSURPLUS,ACCUMUINFIL	
TSD_RD_P	DATA_TYPE	T_P	T_P	
TSD_RD_TMIN	DATA_TYPE	T_TMIN	T_TMIN	
TSD_RD_TMAX	DATA_TYPE	T_TMAX	T_TMAX	
TSD_RD_PET	DATA_TYPE	T_PET	T_PET	
TSD_RD_SR	DATA_TYPE	T_SR	T_SR	
TSD_RD_WS	DATA_TYPE	T_WS	T_WS	
TSD_RD_RM	DATA_TYPE	T_RM	T_RM	
DEP_LINSLEY	DEPRE_IN,DEPRESSION	D_INET,D_PET,D_EXCP	DPST,DEET,SURU	
